group,horizon_days,n,positive_rate,negative_rate,mean_return,median_return,avg_winner,avg_loser,median_winner,median_loser,bottom_10pct,bottom_5pct,worst_return,median_mae,median_mfe,mean_mae,mean_mfe,universe_label,bucket
A,3,1627,0.5531653349723418,0.4468346650276583,0.0012614504150163931,0.0023441162684703,0.015745971591062537,-0.01666986878504073,0.012566468395375101,-0.0123769338958,-0.02438268653268478,-0.03550782092757667,-0.1181856013309953,-0.0109872861414485,0.0122731329962324,-0.015585409494523807,0.015564141836195346,XLC,non_spy_etf
A,5,1627,0.5679164105716041,0.4320835894283958,0.0022666138827574936,0.0044150787539405,0.020660028067741282,-0.02190908271315292,0.01657057913860735,-0.0161186331399456,-0.030875365155431038,-0.04457606396171879,-0.147315855179997,-0.0145077007694441,0.0170555227405153,-0.020675101270045723,0.02097972318660093,XLC,non_spy_etf
A,10,1627,0.6097111247695144,0.39028887523048555,0.00489536887264206,0.0087631945834087,0.028381947415119894,-0.031795475086630394,0.02363125877524415,-0.0249328157654974,-0.04097974974910708,-0.06345355301790405,-0.2207644038783606,-0.0202244258875402,0.02573899054861,-0.029325687948199237,0.030886725476422253,XLC,non_spy_etf
A,20,1627,0.6459741856177013,0.3540258143822987,0.010572650060198033,0.0176912870415935,0.04162138860217801,-0.04608051696692168,0.0357845162860495,-0.03716294512881145,-0.05847695256859816,-0.08289383269239337,-0.2789115646264825,-0.0285859269275441,0.0405884670963503,-0.04094570050211748,0.04579870682208752,XLC,non_spy_etf
B,1,304,0.5625,0.4375,0.00037600264055512485,0.0011617503443202499,0.00710637633891674,-0.008277334971624096,0.0057734759728533,-0.0063581250919009,-0.01286495294298587,-0.0160071262056316,-0.0339484679673083,-0.00545831777513385,0.005871488022498201,-0.007472072689826009,0.007166659367557455,XLC,non_spy_etf
B,3,304,0.5493421052631579,0.4506578947368421,0.001729122547136044,0.00217549548759205,0.01529670870070693,-0.014809467873640143,0.012547301334657,-0.0119080208044227,-0.02082715525476717,-0.030622625056544072,-0.068308550185914,-0.01091215875579685,0.0127519462621045,-0.014416812248242542,0.015143186476356187,XLC,non_spy_etf
B,5,304,0.5263157894736842,0.47368421052631576,0.0030049897662877702,0.00272591712069335,0.02124969256871771,-0.017266902236412165,0.01746627356301285,-0.0139538073511492,-0.026269315279015118,-0.036301150049926754,-0.071096654275202,-0.0151660341622449,0.016878427030536852,-0.01918895873958356,0.020585539109491287,XLC,non_spy_etf
B,10,304,0.6151315789473685,0.3848684210526316,0.004892872119423652,0.0059984256381446,0.025958454356333076,-0.02877604991734611,0.0221407417855432,-0.0254035972487133,-0.039070846226097716,-0.05657474816487205,-0.1149712939794507,-0.021625802058302147,0.023968851728390653,-0.02718594021084392,0.030883607103133513,XLC,non_spy_etf
B,20,304,0.7006578947368421,0.2993421052631579,0.013704125302029413,0.017180147678493497,0.03648573910283273,-0.039619871836114616,0.0312489717437092,-0.0310133429486602,-0.051150395348942654,-0.06467022157259446,-0.1457251158220892,-0.0285998360152348,0.039465074386492896,-0.03596487664479396,0.04546901698523231,XLC,non_spy_etf
C,1,1280,0.52109375,0.47890625,1.282935096240975e-06,0.0005282726070258001,0.006488419208140594,-0.0070573139558019376,0.0053050397879277,-0.0055922724955052,-0.010913939585477019,-0.014730022118275446,-0.0383064516125506,-0.0051397371190948,0.0051972998491884494,-0.0068870013239074575,0.00637909644245957,XLC,non_spy_etf
C,3,1280,0.553125,0.446875,0.00091042742370376,0.00215417431692605,0.01336703965824922,-0.014507896810663697,0.0113320917945509,-0.0110688564792832,-0.02080660828688691,-0.02960302092943385,-0.0960342146190799,-0.0097254851844521,0.01074120546176335,-0.013478442471153007,0.013226833240814024,XLC,non_spy_etf
C,5,1280,0.5765625,0.4234375,0.0020299017498873863,0.00406352186939425,0.017618940067946887,-0.019196500978392893,0.01488135306645285,-0.0146733524006786,-0.02734557657040157,-0.039373613769069976,-0.1158014831709752,-0.012828332394423,0.015408126712186901,-0.01786034920072025,0.017954214143903486,XLC,non_spy_etf
C,10,1280,0.6140625,0.3859375,0.004657366618428069,0.008284015566167601,0.02455645743867909,-0.027003939828368094,0.02183933799382695,-0.022094973590897703,-0.0366231085406621,-0.05135431293098534,-0.2207644038783606,-0.0176315290556671,0.02271815842969125,-0.025484698321880262,0.026719119395344916,XLC,non_spy_etf
C,20,1280,0.66328125,0.33671875,0.009301928093141176,0.01756310490767585,0.035528092558649214,-0.042359356434042865,0.033211183685623,-0.03090645094276,-0.050471448791102956,-0.07375072407485304,-0.2789115646264825,-0.02498080654597035,0.03764091734245385,-0.036507318529069285,0.04018504537627031,XLC,non_spy_etf
